sku,attribute_name,value,source_type,source_name,verification_status,observed_at,source_reference,expires_at
HS-CAB-12-BLK,anc,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:anc,
HS-CAB-12-BLK,wireless,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:wireless,
HS-CAB-12-BLK,foldable,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:foldable,
HS-CAB-12-BLK,microphone,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:microphone,
HS-CAB-12-BLK,battery_hours,42,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:battery_hours,
HS-CAB-12-BLK,weight_g,230 grams,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:weight_g,
HS-CAB-12-BLK,comfort_score,0.91,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:comfort_score,
HS-CAB-12-BLK,travel_score,0.94,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-CAB-12-BLK:travel_score,
HS-COM-08-BLK,anc,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:anc,
HS-COM-08-BLK,wireless,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:wireless,
HS-COM-08-BLK,foldable,false,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:foldable,
HS-COM-08-BLK,microphone,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:microphone,
HS-COM-08-BLK,battery_hours,36,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:battery_hours,
HS-COM-08-BLK,weight_g,248,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:weight_g,
HS-COM-08-BLK,comfort_score,0.86,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:comfort_score,
HS-COM-08-BLK,travel_score,0.88,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-COM-08-BLK:travel_score,
HS-FLD-09-WHT,anc,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:anc,
HS-FLD-09-WHT,wireless,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:wireless,
HS-FLD-09-WHT,foldable,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:foldable,
HS-FLD-09-WHT,microphone,true,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:microphone,
HS-FLD-09-WHT,battery_hours,34,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:battery_hours,
HS-FLD-09-WHT,weight_g,221,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:weight_g,
HS-FLD-09-WHT,comfort_score,0.84,MERCHANT_PRODUCT_FEED,Harbor product feed,MERCHANT_DECLARED,2026-09-01T10:00:00+00:00,HS-FLD-09-WHT:comfort_score,
